Harem_ID_Nest_ID	year	Number	ID	Harem_ID	Nest_ID	social_rank	sex	SL	BW	Longitude	Latitude
11_E05	2023	1	Nbusc23_01	23_11	E05	BF	F	46.74	1.927	2450	2900
25_E01	2023	3	Nbusc23_03	23_D	E01	BF	F	49.86	2.648	1900	1050
10_E04	2023	4	Nbusc23_04	23_10	E04	BF	F	48.49	2.255	1800	300
10_E04	2023	6	Nbusc23_06	23_10	E04	H	F	35.25	0.742	1900	200
9_E02	2023	7	Nbusc23_07	23_9	E02	BF	F	53.53	2.988	2450	2400
25_E01	2023	8	Nbusc23_08	23_D	E01	BM	M	72.27	7.053	2050	800
25_E01	2023	9	Nbusc23_09	23_D	E01	H	M	27.02	0.338	2200	1050
25_E01	2023	10	Nbusc23_10	23_D	E01	H	F	33.22	0.738	2050	1300
24_E07	2023	12	Nbusc23_12	23_C	E07	SM	M	50.56	2.801	2300	2300
13_E08	2023	13	Nbusc23_13	23_13	E08	BF	F	45.94	1.831	1300	1300
14_E09	2023	14	Nbusc23_14	23_14	E09	BF	F	38.97	1.217	1500	100
10_E04	2023	15	Nbusc23_15	23_10	E04	H	M	30.09	0.425	1800	100
12_E06	2023	17	Nbusc23_17	23_12	E06	BF	F	47.64	2.099	2450	900
15_E10	2023	19	Nbusc23_19	23_15	E10	BF	F	48.17	2.477	1450	1900
12_E06	2023	21	Nbusc23_21	23_12	E06	H	M	41.4	1.446	2450	1150
16_E11	2023	22	Nbusc23_22	23_16	E11	BF	F	47.91	2.244	2400	1700
24_E13	2023	23	Nbusc23_23	23_C	E13	BF	F	43.64	1.584	2200	2500
15_E10	2023	26	Nbusc23_26	23_15	E10	H	F	31.36	0.532	1250	2000
15_E10	2023	27	Nbusc23_27	23_15	E10	H	M	34.18	0.611	1350	2100
23_E14	2023	28	Nbusc23_28	23_B	E14	BF	F	52.37	2.48	1600	2700
22_E15	2023	30	Nbusc23_30	23_A	E15	SM	M	57.12	3.866	1750	2500
16_E11	2023	31	Nbusc23_31	23_16	E11	H	F	40.8	1.481	2250	1850
16_E11	2023	32	Nbusc23_32	23_16	E11	H	M	36.56	0.842	2550	1850
16_E11	2023	33	Nbusc23_33	23_16	E11	H	F	36.13	0.858	2400	2000
22_E16	2023	34	Nbusc23_34	23_A	E16	BF	F	53.01	2.58	1950	2500
23_NA	2023	37	Nbusc23_37	23_B	NA	SM	M	50.11	2.301	1600	2900
20_E19	2023	38	Nbusc23_38	23_20	E19	BF	F	44.73	1.778	2300	350
22_E16	2023	39	Nbusc23_39	23_A	E16	J	NA	12.62	0.031	1950	2200
23_E18	2023	40	Nbusc23_40	23_B	E18	H	F	28.51	0.368	1700	2800
20_E21	2023	41	Nbusc23_41	23_20	E21	SM	M	42.22	1.387	2300	200
19_E17	2023	43	Nbusc23_43	23_19	E17	BF	F	46.49	19.19	1700	1800
22_E16	2023	44	Nbusc23_44	23_A	E16	BM	M	67.7	5.81	1750	2200
17_E12	2023	46	Nbusc23_46	23_17	E12	BF	F	41.46	1.5	1700	1000
