ID1,ID2,N_SNP,HetHet,IBS0,Kinship
Nbusc22_03,Nbusc22_04,49476,0.1105,0.0047,0.2055
Nbusc22_03,Nbusc22_05,50672,0.1088,0.0050,0.1998
Nbusc22_04,Nbusc22_05,49372,0.1338,0.0101,0.2285
Nbusc22_06,Nbusc22_07,51085,0.1113,0.0055,0.2007
Nbusc22_06,Nbusc22_08,51343,0.1120,0.0051,0.2042
Nbusc22_07,Nbusc22_08,50945,0.1345,0.0135,0.2124
Nbusc22_09,Nbusc22_10,45236,0.1095,0.0036,0.1925
Nbusc22_09,Nbusc22_11,46442,0.1521,0.0077,0.2596
Nbusc22_09,Nbusc22_12,46558,0.1350,0.0097,0.2211
Nbusc22_09,Nbusc22_16,45820,0.1196,0.0055,0.2098
Nbusc22_10,Nbusc22_11,44591,0.1075,0.0041,0.1865
Nbusc22_10,Nbusc22_12,45024,0.1061,0.0043,0.1929
Nbusc22_11,Nbusc22_12,45953,0.1454,0.0110,0.2366
Nbusc22_11,Nbusc22_16,44984,0.1181,0.0060,0.2047
Nbusc22_12,Nbusc22_16,45205,0.1104,0.0053,0.1978
Nbusc22_15,Nbusc22_18,47517,0.1413,0.0052,0.2321
Nbusc22_15,Nbusc22_19,46983,0.1420,0.0052,0.2339
Nbusc22_15,Nbusc22_20,45700,0.1337,0.0049,0.2256
Nbusc22_15,Nbusc22_21,47580,0.1452,0.0117,0.2221
Nbusc22_15,Nbusc22_24,46311,0.1391,0.0051,0.2268
Nbusc22_15,Nbusc22_25,45682,0.1360,0.0043,0.2258
Nbusc22_17,Nbusc22_18,47729,0.1208,0.0050,0.1865
Nbusc22_18,Nbusc22_19,47196,0.1529,0.0112,0.2285
Nbusc22_20,Nbusc22_23,45989,0.1194,0.0048,0.1952
Nbusc22_20,Nbusc22_24,45159,0.1574,0.0108,0.2373
Nbusc22_20,Nbusc22_25,44516,0.1590,0.0101,0.2451
Nbusc22_23,Nbusc22_24,46668,0.1249,0.0050,0.1955
Nbusc22_23,Nbusc22_25,46117,0.1171,0.0059,0.1837
Nbusc22_24,Nbusc22_25,45186,0.1627,0.0070,0.2612
Nbusc22_26,Nbusc22_42,46407,0.1315,0.0120,0.1836
Nbusc22_26,Nbusc22_44,46123,0.1404,0.0090,0.2160
Nbusc22_26,Nbusc22_45,45960,0.1317,0.0106,0.1920
Nbusc22_26,Nbusc22_46,45161,0.1479,0.0124,0.2168
Nbusc22_26,Nbusc22_53,44850,0.1461,0.0142,0.2090
Nbusc22_26,Nbusc22_64,46442,0.1407,0.0151,0.1920
Nbusc22_32,Nbusc22_34,45327,0.1122,0.0057,0.1780
Nbusc22_32,Nbusc22_40,44707,0.1142,0.0050,0.1826
Nbusc22_32,Nbusc22_41,46267,0.1163,0.0064,0.1861
Nbusc22_32,Nbusc22_48,44984,0.1143,0.0049,0.1865
Nbusc22_33,Nbusc22_34,44625,0.1030,0.0041,0.1971
Nbusc22_33,Nbusc22_40,44079,0.1047,0.0055,0.1928
Nbusc22_04,Nbusc23_08,47347,0.1165,0.0051,0.2101
Nbusc22_05,Nbusc23_08,48511,0.1163,0.0047,0.2098
Nbusc22_02,Nbusc23_34,47203,0.1405,0.0078,0.2491
Nbusc22_14,Nbusc23_49,47882,0.1395,0.0137,0.2065
Nbusc22_34,Nbusc22_40,43592,0.1419,0.0065,0.2662
Nbusc22_35,Nbusc22_36,43698,0.1054,0.0045,0.1954
Nbusc22_35,Nbusc22_37,43090,0.1085,0.0048,0.2042
Nbusc22_36,Nbusc22_37,43545,0.1242,0.0096,0.2211
